sessionId (id),page (text),latency (int),timeOnPage (float)
39006782,index,13,52.018
b85d00a8,explore,22,174.941
b7eff8f0,explore,329,132.921
38826074,query,131,417.993
b78b6241,query,131,355.8
3908895c,welcome,53,28.516
b7fa5fae,welcome,40,37.402
b803639d,query,80,395.835
38678694,welcome,44,43.059
b87cde16,query,255,388.542
37eb9889,,81,
388e7adf,,10,
b7fddf00,query,58,359.667
3959531f,query,45,315.842
3794ed75,explore,78,74.304
3941ab5f,explore,22,134.175
387554d0,query,62,316.125
377f7199,query,17,426.714
3911c751,query,38,362.962
b9073d39,query,17,386.321
38a5e6dc,explore,80,123.818
38acbfc9,index,4,67.664
39463fd5,query,80,372.724
38b09a88,welcome,35,23.909
b715fc7b,query,161,411.479
38da9d49,explore,343,148.141
b6e9962b,query,66,369.802
3959531f,index,29,56.87
b72e9d50,explore,23,104.527
3910ea02,explore,87,38.997
b98f41a7,explore,35,153.054
b684a433,index,14,17.649
b81aac1c,welcome,55,29.152
b69d376c,query,73,288.123
b913fa3d,explore,22,155.689
b7b11343,explore,595,167.392
37295f54,query,23,427.708
b7b59c98,explore,22,105.021
38551544,index,4,56.826
b842859b,welcome,60,30.569
385b8ebd,explore,30,187.155
382345b2,welcome,54,35.366
b836089c,welcome,7,18.058
3905baf4,query,17,325.079
b9166fd4,explore,108,139.002
b800ff0e,explore,121,105.448
b743e5c6,welcome,7,34.424
b8083d73,explore,115,127.955
b904fd6c,query,17,352.847
381dc512,welcome,81,27.435
38b768a6,welcome,41,47.975
b78d0280,query,134,258.71
37e627d2,welcome,17,26.216
b853d519,explore,36,114.053
b9058a3a,query,42,363.05
b8a21496,explore,61,106.398
388473f3,,86,
38c9120d,explore,161,76.22
b7f28310,query,101,355.152
b957115e,query,70,343.767
3959531f,query,126,366.749
392269f6,query,28,588.632
391e2eeb,query,17,314.663
b8e5a9d7,index,12,43.297
37db1c2e,index,37,64.451
38fa3202,explore,96,108.346
b715fc7b,explore,22,133.344
3707fb77,query,17,486.586
38d3b1c9,query,218,414.112
36d0a1dc,index,17,47.923
39048856,query,17,412.677
3959531f,query,124,339.317
384ccca7,query,118,415.047
3707fb77,index,6,59.61
b8adaed6,query,19,442.585
b97b1f52,query,17,275.515
b8aff57d,query,17,391.601
b891a53e,welcome,44,26.711
387fd3f2,query,153,433.204
b8e5a9d7,query,49,429.53
b7b79d06,explore,264,164.783
38e9c25e,index,16,35.348
b5da8408,welcome,7,34.669
b8cc8870,explore,180,0.816
b8083d73,query,141,310.844
38a2afc1,explore,92,62.331
b8b14542,query,18,366.214
3.88E+13,query,17,317.336
3744b737,,10,
38da9d49,welcome,82,39.897
b913fa3d,query,80,304.582
36a0d5ec,index,21,39.274
396c890c,query,19,469.935
3945ce3a,index,12,53.559
395db9dc,query,265,397.593
370571d4,query,20,359.648
b97b1f52,explore,245,95.385
b8b37cbc,welcome,55,15.927
b8b1fce4,query,54,412.38
3867b4fa,explore,22,112.999
b8cc8870,index,4,70.155
b8dd316b,explore,205,72.698
3857dfc6,explore,203,129.296
3926e692,query,81,397.098
b7150245,query,17,331.116
b93a5bf5,explore,153,171.999
3910ea02,query,501,409.974
b7f5bb66,query,44,335.48
37a1058d,query,145,436.924
b8391a61,query,50,320.654
b6bfc32c,query,48,484.815
b8d358f0,query,39,355.328
35f3508e,query,100,319.617
37f82166,,63,
38e2c522,welcome,14,36.515
b92cb918,explore,408,92.435
b98f6b2a,query,74,391.155
3849c6fb,query,104,298.803
b7b79d06,explore,114,72.394
b6b8e96f,explore,22,116.635
b7599dee,query,55,378.252
4.00E+101,,10,
384f2238,query,69,396.785
3.80E+08,query,318,461.211
b72e9d50,explore,47,90.569
379141c9,query,63,472.698
3744b737,explore,689,215.713
b853d519,explore,87,165.657
b922e3e3,welcome,34,32.226
b80488d1,explore,22,95.172
b866983b,explore,35,62.787
37ab4274,query,17,351.115
b821442d,welcome,103,43.756
b929ba86,query,17,516.58
b8aff57d,explore,49,105.824
b8acdbe3,query,110,375.561
382345b2,,10,
b8160561,query,176,388.22
38dbc151,query,77,301.258
38acbfc9,explore,22,211.24
b8bb2174,explore,227,85.048
b8eb4d4e,explore,32,110.455
36d0a1dc,,53,
b8ee782d,query,17,419.585
37ad3faf,query,17,403.651
b78e0dd7,index,29,36.352
39006782,welcome,47,19.602
b8989f91,query,17,397.846
37b00432,welcome,62,13.972
38a2afc1,query,128,330.015
377f7199,query,59,316.969
38071ebe,explore,154,100.973
b98ba0ac,,38,
b8b6d7a6,,97,
3801f09c,welcome,33,24.631
b7fa5fae,query,134,382.66
b957115e,explore,22,29.921
b82c53e0,query,17,366.41
37ab4274,query,119,341.536
38f5c56b,query,172,314.181
38e75f40,explore,77,179.986
37f7103f,explore,148,144.665
38b09a88,query,137,488.528
b9058a3a,query,104,340.92
b8463fd8,query,55,372.363
384ccca7,index,4,24.697
b72f7963,query,40,356.009
b8b1fce4,query,49,291.597
38826074,query,69,437.305
b88a09a7,query,35,276.534
b929ba86,index,4,52.34
3875fb10,welcome,21,21.196
38b0ba4b,,10,
b8d1dabb,index,21,43.349
37f9de59,query,81,364.563
b9011f98,explore,231,33.019
b78e0dd7,query,150,233.071
b93a5bf5,explore,131,87.71
b8bff102,query,51,286.794
3.89E+41,query,282,373.717
38e7e056,query,33,300.788
b925aacd,query,17,407.693
b8cc8870,query,107,412.989
3884d3b8,explore,209,101.08
385bf153,query,241,498.804
36b6fc81,,81,
37f2055b,welcome,68,26.465
b7851092,query,47,353.274
38dfb031,query,46,316.411
b7e1c8a3,index,13,43.184
b928afbe,index,44,69.072
b8997506,explore,46,32.763
b87c4065,query,17,472.169
b8cc8870,explore,22,159.832
38731251,welcome,7,25.702
b7c6f37d,explore,64,176.34
b6e9962b,explore,22,24.094
b81e28fd,explore,76,169.791
b81aac1c,welcome,20,25.672
37ab4274,explore,114,42.994
b89e1007,welcome,20,34.588
b8d56faf,query,58,478.695
b8f365e5,welcome,7,26.648
38ff8474,query,395,482.572
3707fb77,explore,22,70.359
b842859b,welcome,8,5.671
b8d56faf,query,49,389.913
b85d00a8,query,131,510.201
38a5e6dc,explore,22,65.411
392269f6,index,4,66.559
38d0167a,query,17,418.461
37e2e123,welcome,23,4.628
37f7103f,query,53,443.74
b929ba86,,25,
b95624a3,,113,
b80488d1,query,121,371.024
382533f1,query,186,395.369
38551544,explore,276,28.327
b6958ebc,explore,221,89.675
b63335a2,query,17,258.301
371b2fbe,explore,124,148.445
3911c453,explore,24,133.184
b9166fd4,explore,141,184.241
b78b6241,explore,112,78.765
b99b685a,query,17,388.861
b8884021,query,210,367.475
37db1c2e,welcome,7,20.751
b6f8d90b,welcome,37,43.39
b888fdf7,explore,102,88.231
38498b7e,query,34,413.408
b8a57e40,query,105,382.147
39185800,welcome,7,17.507
3794ed75,query,17,306.008
b8acdbe3,,12,
b7d41379,explore,315,67.359
b8bb2174,query,17,294.122
38678694,query,21,298.326
b821442d,query,17,275.346
3905baf4,query,183,446.179
b98f6b2a,query,128,427.164
b8b6d7a6,welcome,39,43.272
b727c7ed,explore,64,127.996
396c890c,query,17,391.236
b8391a61,query,68,418.438
b727c7ed,explore,492,28.999
b880fe2e,welcome,36,28.967
b7b11343,query,306,312.415
38c78d69,query,200,434.458
395db9dc,explore,279,55.866
37cca1bf,query,17,389.896
b800ff0e,explore,129,179.533
b63335a2,explore,41,111.657
b9071e0f,query,55,334.98
35c5412f,explore,207,116.87
b8c09db8,query,17,395.415
b7006301,welcome,11,25.286
b6e9962b,welcome,7,32.872
380659cb,explore,22,107.444
3821abf6,welcome,7,29.579
b8d3ccd1,query,17,512.571
4.00E+101,query,94,319.226
b8a21496,query,253,382.537
b91b59ef,query,73,287.213
b8ee782d,,11,
b8817cf7,explore,22,37.242
3801f09c,explore,45,135.963
b87cde16,query,38,489.946
b87cde16,query,34,422.489
b7f28310,query,120,381.369
388cea01,query,190,393.048
b6990fc2,welcome,7,26.573
b8bb10b7,query,151,427.91
38dd988d,explore,35,75.082
38ef3cac,explore,34,160.777
390d228a,query,33,270.541
3928b75f,index,40,47.717
385b8ebd,query,92,391.984
b7711fd2,query,17,360.677
b8660f88,welcome,106,30.993
b63335a2,explore,149,75.557
b8a7d0b8,query,17,350.151
396a04f5,query,47,427.843
b98f6b2a,explore,266,35.191
38f5c56b,explore,198,145.486
3858424d,explore,154,43.688
3809ff9f,query,23,408.82
b85d00a8,query,17,482.984
35b444af,explore,275,74.491
38731251,explore,22,103.584
383abed1,explore,32,156.941
3821abf6,query,156,314.249
b83daced,welcome,27,19.243
38ff8474,query,17,310.222
b8569c03,query,45,336.902
38551544,query,155,293.733
3809ff9f,explore,184,123.601
394857b7,index,12,58.397
381dc512,explore,43,118.066
36efb219,explore,71,101.432
35cfb7c7,explore,104,112.794
396c890c,query,53,371.279
384f2238,,32,
38bc1af6,welcome,28,23.581
b8d56faf,welcome,52,31.972
b8372421,explore,74,101.148
b8569c03,explore,22,172.242
3.80E+08,query,31,428.201
b8e6681d,explore,92,108.917
36d0a1dc,welcome,44,31.853
38c78d69,explore,22,80.221
b817c50e,explore,245,157.473
b8a21496,query,43,270.247
386d2da5,explore,294,45.346
37a1058d,query,389,413.295
384ccca7,explore,48,72.315
b84369c5,explore,142,125.423
3905baf4,explore,40,76.627
b7c6f37d,explore,158,125.648
3821abf6,query,65,318.415
385d4712,query,95,361.679
383abed1,welcome,53,32.888
b8391a61,query,313,404.778
b7711fd2,explore,258,112.077
b8cc587b,explore,87,85.705
3941ab5f,welcome,51,22.517
b93c1e35,explore,607,74.403
38a5e6dc,explore,133,115.539
377f7199,explore,359,27.892
389a5a09,explore,90,119.784
b8372421,welcome,7,38.199
b928afbe,welcome,7,38.18
b8d3ccd1,query,83,395.948
b8da93e2,welcome,7,23.785
396a04f5,welcome,7,31.529
b7fa5fae,index,36,43.765
35f3508e,query,17,339.494
b8660f88,index,12,54.946
b9166fd4,query,17,378.845
b7150245,welcome,11,45.876
38e9c25e,query,96,413.526
37921011,explore,22,66.189
b6958ebc,welcome,8,19.316
b8372421,explore,90,58.695
389a5a09,welcome,26,25.794
b788a64e,welcome,31,38.441
b8ee782d,query,194,488.193
37e8bad2,welcome,10,42.162
36efb219,query,70,371.961
38e75f40,query,229,272.031
384ccca7,explore,22,132.946
392c9861,welcome,25,27.734
b90fcff0,welcome,37,55.576
b8c69d26,query,193,416.196
38fa3202,query,38,379.654
b72e9d50,explore,195,72.03
3801f09c,index,10,54.237
37b3f54d,query,30,337.119
382533f1,,45,
37f82166,query,87,402.029
b4d56bdc,explore,22,134.57
b8a21496,query,31,474.255
37ab4274,explore,37,96.081
39185800,explore,76,44.773
b871cdab,query,64,408.738
b7599dee,explore,216,57.654
b70bcb2c,query,98,417.087
b8b0e081,,109,
3801f09c,explore,139,63.893
38fa3202,query,106,283.465
b8989f91,explore,53,80.711
37f9de59,query,41,472.745
38d3b1c9,query,227,264.227
b880fe2e,query,277,373.943
b684a433,explore,158,50.77
371b2fbe,welcome,17,28.111
36efb219,welcome,80,30.956
b8463fd8,,74,
b8372421,query,66,405.529
b89f9db4,query,73,422.983
38b768a6,welcome,45,19.477
b95624a3,welcome,85,30.98
b8a61c3d,explore,22,73.512
b87cde16,welcome,24,23.503
b92cb918,welcome,7,27.918
b929ba86,,50,
b78b6241,explore,79,37.475
b94a5b1f,query,88,409.994
b73cf870,index,34,44.463
b928afbe,,119,
37db1c2e,explore,184,87.585
3962b232,explore,258,137.708
b780efe5,explore,106,185.142
3899ccda,query,42,318.964
3827db44,index,4,35.429
38be11d8,query,179,309.671
38b09a88,welcome,7,30.107
390c3506,explore,130,117.626
b8e5a9d7,query,40,435.364
b8075a0a,welcome,23,21.899
392269f6,welcome,53,36.685
b915b875,query,60,358.325
b9166fd4,explore,22,108.76
b880fe2e,query,148,345.792
b7d41379,query,131,356.397
37e8bad2,query,17,412.714
3911c453,query,67,369.217
3899ea49,welcome,7,34.56
38e7e056,welcome,13,26.976
b866983b,query,39,516.76
37e2e123,query,49,429.747
b88a09a7,,20,
b928afbe,explore,116,107.987
38790dde,query,136,491.582
b914eada,welcome,7,22.434
b5da8408,query,36,349.127
3928b75f,explore,22,119.356
3899ccda,query,126,449.373
b89358fa,welcome,7,21.715
b8da93e2,welcome,52,22.309
38e9c25e,explore,22,155.624
b9071e0f,query,299,351.637
b8569c03,index,73,43.776
38dfb031,query,153,401.961
b928afbe,welcome,84,24.221
b9093311,explore,533,140.047
b8a7d0b8,query,114,481.748
b8989f91,query,233,353.444
3.92E+09,,64,
387950ec,explore,307,115.734
38bc1af6,query,138,388.106
b8a61c3d,welcome,73,18.41
b9315418,query,30,357.509
370571d4,query,29,299.505
37f7103f,explore,22,111.771
38c46841,explore,131,177.939
b914e7a0,query,236,324.779
b87c4065,index,15,54.28
b8f55c89,welcome,109,20.809
b9166fd4,explore,39,122.178
382db31a,index,10,64.89
39006782,,87,
38be11d8,welcome,17,21.982
b8bba093,query,35,233.528
b81aac1c,,10,
388c423e,query,135,577.454
39041af1,explore,22,97.276
b93a5bf5,explore,43,100.353
b6b8e96f,explore,74,52.679
b92cb918,,84,
38ef3cac,index,20,57.071
395db9dc,explore,168,167.689
b8f365e5,welcome,7,28.079
b8463fd8,query,23,402.714
34a81b8f,explore,219,20.729
38fa3202,index,4,34.994
39449ddc,query,66,297.864
b871cdab,index,34,27.693
b8e6681d,query,17,434.781
38c31cae,query,34,397.817
38071ebe,welcome,7,24.562
b8b37cbc,welcome,22,37.301
3899ccda,welcome,7,40.948
b9036d74,welcome,12,24.248
b888fdf7,,48,
b81e28fd,welcome,13,23.55
b95624a3,explore,180,72.599
b922e3e3,welcome,38,33.705
b8b0e081,welcome,37,31.039
b9322811,explore,100,93.65
b8cc8870,explore,73,153.829
38c8cabf,query,20,268.396
b8bff102,query,293,375.06
39006782,explore,194,102.324
388e7adf,query,161,283.476
379b1d53,query,91,416.898
3827db44,query,163,326.142
3945ce3a,query,21,456.746
b9073d39,welcome,10,45.796
b7e9cf39,explore,261,169.28
3884d3b8,explore,218,100.672
35b444af,explore,239,108.685
b780efe5,explore,68,150.022
b826ffe7,explore,176,123.649
b9315418,query,126,453.241
b928afbe,,21,
b888fdf7,query,62,346.189
b7dc6a9a,welcome,7,28.939
38bf4757,explore,38,134.647
39098b28,explore,281,111.174
38e7e056,explore,326,131.569
38bf4757,explore,22,118.668
387347f1,query,27,461.223
39449ddc,query,85,376.322
b842859b,query,18,299.996
39048856,,38,
b929ba86,query,44,197.229
b8e5a9d7,index,4,31.756
b8f365e5,query,31,482.562
b8884021,welcome,23,40.548
b6a42ef9,,10,
387347f1,explore,34,106.832
390a543e,query,105,462.52
38e9c25e,query,26,365.745
3827db44,welcome,26,31.308
b7cf0af2,query,37,466.077
388e7adf,welcome,9,19.2
b836089c,explore,22,141.924
38acbfc9,query,85,313.183
b914eada,,17,
3845e841,explore,25,119.375
381dc512,query,501,432.157
3901fa95,query,17,420.621
390a543e,query,240,429.64
387347f1,explore,121,144.061
388d08f0,welcome,28,30.249
38a7586c,query,83,265.139
3744b737,query,90,343.306
38b6b950,welcome,80,35.707
b8b7a428,explore,22,45.777
37295f54,explore,225,102.749
396a04f5,query,17,372.234
b5da8408,welcome,95,27.748
b904fd6c,index,22,63.78
3809ff9f,explore,129,176.6
b7cd9fae,query,335,379.63
388473f3,explore,78,68.37
37e2e123,explore,33,201.967
b780efe5,explore,200,31.123
37c8fbf3,query,17,337.555
35c5412f,query,60,349.996
36a0d5ec,query,304,306.182
b928afbe,welcome,120,31.673
b802185b,query,39,477.738
b8e2850c,query,147,396.875
b68320d1,query,17,385.948
b7ecd50e,welcome,155,22.922
38edab26,query,46,396.509
b9073d39,explore,478,150.478
38e2c522,query,34,461.847
39163a9b,query,18,320.012
39041af1,explore,75,162.363
b98ba0ac,query,93,429.871
b6f8d90b,index,4,39.717
b8bb10b7,query,18,431.278
b891a53e,query,163,285.321
396a04f5,query,156,346.686
390a543e,query,175,451.368
3911c453,query,17,434.668
b8d56faf,query,17,382.813
389a5a09,,31,
b5da8408,,10,
b8dd316b,query,315,303.196
37f2055b,query,18,317.31
385bf153,welcome,19,32.511
b93c1e35,query,68,303.302
b871cdab,explore,102,106.196
b5da8408,query,214,415.566
384ccca7,explore,82,146.156
3912a215,query,112,511.969
b73cf870,welcome,67,25.409
b780efe5,explore,80,93.611
b7cd9fae,,55,
37e2e123,query,73,512.767
384f2238,explore,107,131.781
3910ea02,query,37,328.343
b788a64e,query,27,335.798
b6bfc32c,query,95,452.851
b99b685a,explore,92,111.159
b853adc7,explore,241,99.306
b83daced,query,59,486.879
b80488d1,welcome,7,28.63
38e75f40,query,17,411.944
b826ffe7,query,84,347.132
b6990fc2,query,17,429.606
b88a09a7,welcome,48,24.901
37921011,explore,28,52.912
b7b11343,query,260,323.245
3908895c,explore,48,105.91
b87c4065,query,439,482.609
3875fb10,explore,397,97.203
38d9e91d,welcome,11,31.424
371b2fbe,query,45,394.496
37dd5930,query,61,389.512
b70bcb2c,welcome,10,30.911
b88a09a7,query,109,438.202
37921011,query,24,291.989
b7b11343,index,12,68.301
397850c1,query,372,255.668
b8c69d26,,11,
392c9861,welcome,27,19.467
b8bb2174,query,36,424.992
b8989f91,query,58,398.05
383abed1,,15,
3910ea02,query,152,259.556
b874f71a,query,173,419.971
38946284,explore,173,78.168
382db31a,welcome,9,22.766
39872d38,,54,
37dd5930,index,15,68.825
b7b79d06,query,95,315.351
36efb219,index,18,32.524
b97b1f52,welcome,41,18.007
39449ddc,query,280,334.617
37a1058d,query,51,440.683
b8621b79,query,218,347.9
b8b0e081,explore,74,53.087
b97c6f36,query,239,292.64
b866983b,,44,
37e8bad2,explore,76,169.518
38d87afe,explore,22,47.507
38a2afc1,welcome,29,26.956
3858424d,explore,125,151.585
b8e1fea6,welcome,10,35.915
39041af1,query,77,366.352
b81aac1c,,39,
b8a3d144,query,17,338.889
3924671c,query,328,239.218
37c64359,query,222,404.583
b8997506,query,38,338.802
b93a5bf5,,10,
37b00432,welcome,42,20.734
3849c6fb,explore,144,112.047
b8b14542,explore,30,141.974
3882b813,explore,22,197.214
3926e692,explore,70,111.281
3.88E+13,explore,45,121.779
b98f6b2a,explore,85,42.89
38c354f3,query,28,509.134
393d8a15,explore,22,92.519
38b768a6,explore,112,68.879
b8391a61,query,23,477.284
38106d1a,explore,51,73.025
38826074,query,18,441.565
391e2eeb,explore,373,98.45
3899ccda,explore,594,54.054
b6990fc2,explore,28,119.962
b8dd316b,query,229,302.979
38aafec6,query,19,352.457
b8da93e2,explore,137,179.034
b93c1e35,explore,109,112.397
b925aacd,query,137,452.78
37f82166,welcome,21,29.69
3857dfc6,welcome,103,26.983
b7d41379,query,17,312.215
b874f71a,explore,244,138.969
b8b14542,query,59,447.509
b8f55c89,query,17,332.846
37a1058d,query,26,334.833
38ff8474,query,95,507.782
b81aac1c,explore,47,107.902
b8b7a428,explore,66,130.85
b7f28310,explore,43,78.072
b6e567e4,query,88,288.446
37c64359,welcome,25,37.298
39244681,welcome,76,21.307
b98f6b2a,query,253,396.778
b7f28310,query,112,392.185
b915b875,explore,75,54.828
37921011,index,14,45.92
b88a09a7,explore,99,103.618
b8160561,welcome,19,45.136
39463fd5,query,73,377.553
b98f41a7,query,17,492.739
38c78d69,explore,22,137.512
3926e692,explore,50,173.121
380659cb,query,102,304.199
384ccca7,,56,
3911c751,explore,60,111.143
b7711fd2,welcome,14,50.84
3899ea49,index,21,26.239
b7b187ea,welcome,7,16.414
b98f41a7,welcome,29,35.913
b7f5bb66,index,26,23.643
b80488d1,explore,35,135.8
b8ee782d,explore,342,106.326
39041af1,explore,22,120.698
b72f7963,query,131,454.888
3945ce3a,explore,265,63.867
395db9dc,explore,142,112.287
38ef3cac,explore,22,136.913
b803639d,,10,
b7006301,query,155,357.532
37e2e123,welcome,7,24.908
b8d56faf,,85,
b8d3ccd1,explore,138,71.864
38e9c25e,,42,
390d228a,explore,208,138.727
b8d3ccd1,index,9,34.758
371b2fbe,explore,38,63.983
b7c6f37d,query,126,425.334
388cea01,query,144,366.218
38c354f3,,73,
b8da46e6,explore,200,69.774
b836089c,query,17,451.98
b7c6f37d,query,71,377.644
38a53e49,query,17,430.013
b8dd316b,index,73,28.783
37b00432,query,20,356.864
b7006301,query,149,457.115
b9073d39,welcome,7,37.56
387950ec,query,87,341.524
b87cde16,query,73,299.432
b7dba582,query,596,385.31
3.88E+13,query,135,427.036
b826ffe7,welcome,46,25.813
b8adaed6,explore,190,119.468
37f7103f,explore,176,36.123
3.92E+09,explore,146,84.35
38d9e91d,welcome,14,34.855
b8bb2174,explore,52,120.851
35cfb7c7,explore,67,95.41
38946284,query,101,349.111
3926e692,welcome,7,32.008
b98ba0ac,explore,173,71.317
b98ba0ac,query,58,303.571
396a04f5,welcome,13,33.052
38a5e6dc,query,50,425.133
b7eff8f0,query,191,380.779
38b0ba4b,query,34,379.966
3910ea02,query,124,370.012
b81aac1c,explore,48,157.325
379f5fd6,query,19,267.439
37f82166,index,39,26.72
b8f51d3a,explore,22,101.874
b73cf870,query,98,277.419
b8b0e081,explore,81,106.767
b8d3ccd1,welcome,32,29.283
38c354f3,explore,22,139.487
38acbfc9,index,6,56.494
b98f41a7,welcome,50,27.662
38e7e056,index,42,22.843
38551544,explore,226,104.295
b7ecd50e,query,17,341.411
38d87afe,welcome,8,34.122
b8f365e5,welcome,7,34.667
b8d3ccd1,query,102,395.743
37eb9889,query,283,310.646
379141c9,explore,48,92.432
395db9dc,explore,182,82.775
b78b6241,explore,40,148.515
385539b2,explore,149,137.199
39463fd5,,71,
38876233,query,28,515.985
379b1d53,query,87,452.488
b8372421,query,32,347.196
